Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-0007,EGSQ,Eastern Gray Squirrel,1/2/2019,728 21st Ave E,Seattle,King
2019-0009,EACO,Eastern Cottontail,1/2/2019,Dravus St and 27th Ave W,Seattle,King
2019-0012,BUSH,Bushtit,1/2/2019,5125 40th Ave NE,Seattle,King
2019-0014,AMRO,American Robin,1/3/2019,5045 36th Ave NE,Seattle,King
2019-0017,ROPI,Rock Pigeon,1/4/2019,117 S Washington St,Seattle,King
2019-0018,GWGU,Glaucous-winged Gull,1/5/2019,117 S Washington St,Seattle,King
2019-0024,ROPI,Rock Pigeon,1/7/2019,1630 Boylston Ave,Seattle,King
2019-0025,SOSP,Song Sparrow,1/7/2019,8498 Seaview Pl NW,Seattle,King
2019-0027,ROPI,Rock Pigeon,1/8/2019,2334 4th Ave,Seattle,King
2019-0030,COHA,Cooper's Hawk,1/8/2019,800 Poplar Place S,Seattle,King
2019-0043,DEJU,Dark-eyed Junco,1/14/2019,12014 22nd Ave NE,Seattle,King
2019-0046,DEJU,Dark-eyed Junco,1/15/2019,7509 39th Ave NE #2,Seattle,King
2019-0048,GWGU,Glaucous-winged Gull,1/15/2019,8498 Seaview Pl NW,Seattle,King
2019-0059,ROPI,Rock Pigeon,1/19/2019,507 W Mercer St #101,Seattle,King
2019-0066,EACO,Eastern Cottontail,1/20/2019,1700 Ravenna Blvd NE,Seattle,King
2019-0068,PEFA,Peregrine Falcon,1/21/2019,1201 Amgen Ct W,Seattle,King
2019-0069,AMRO,American Robin,1/21/2019,5603 45th Ave SW,Seattle,King
2019-0071,EGSQ,Eastern Gray Squirrel,1/21/2019,1907 9th Ave W,Seattle,King
2019-0086,AMRO,American Robin,1/25/2019,4005 46th Ave,Seattle,King
2019-0087,EGSQ,Eastern Gray Squirrel,1/25/2019,3610 11th Ave W,Seattle,King
2019-0091,AMRO,American Robin,1/26/2019,3713 E Pike St,Seattle,King
2019-0092,ROPI,Rock Pigeon,1/26/2019,1222 Summit Ave #409,Seattle,King
2019-0093,AMRO,American Robin,1/26/2019,5437 31st Ave SW,Seattle,King
2019-0096,SPTO,Spotted Towhee,1/26/2019,1811 N 80th St,Seattle,King
2019-0103,ROPI,Rock Pigeon,1/29/2019,914 E Harrison St,Seattle,King
2019-0105,COHA,Cooper's Hawk,1/30/2019,3233 16th Ave S,Seattle,King
2019-0106,AMRO,American Robin,1/30/2019,2331 Fairview Ave E,Seattle,King
2019-0109,EACO,Eastern Cottontail,1/30/2019,3621 NE 85th St,Seattle,King
2019-0121,AMRO,American Robin,2/2/2019,1124 N 76th St,Seattle,King
2019-0122,ROPI,Rock Pigeon,2/2/2019,5900 37th Ave,Seattle,King
2019-0131,AMRO,American Robin,2/5/2019,1235 Taylor Ave N # 2,Seattle,King
2019-0138,RTHA,Red-tailed Hawk,2/5/2019,708 6th Ave N,Seattle,King
2019-0140,EACO,Eastern Cottontail,2/6/2019,Fairmond Park,Seattle,King
2019-0141,VATH,Varied Thrush,2/6/2019,30th Ave W and Barrett St,Seattle,King
2019-0142,HOFI,House Finch,2/6/2019,4202 Sunnyside Ave N,Seattle,King
2019-0154,GWGU,Glaucous-winged Gull,2/9/2019,E Pine St and Belmont Ave,Seattle,King
2019-0160,ROPI,Rock Pigeon,2/10/2019,9745 10th Pl SW,Seattle,King
2019-0163,DEJU,Dark-eyed Junco,2/10/2019,4756 46th Ave NE,Seattle,King
2019-0166,ANHU,Anna's Hummingbird,2/11/2019,2030 Western Ave,Seattle,King
2019-0169,VATH,Varied Thrush,2/12/2019,11526 20th Ave NE,Seattle,King
2019-0172,AMCR,American Crow,2/12/2019,2102 NE 68th Street,Seattle,King
2019-0176,ROPI,Rock Pigeon,2/13/2019,1520 Broadway,Seattle,King
2019-0177,ROPI,Rock Pigeon,2/13/2019,1924 9th Ave,Seattle,King
2019-0178,NOFL,Northern Flicker,2/13/2019,431 SW 106th St,Seattle,King
2019-0179,ROPI,Rock Pigeon,2/14/2019,1703 12th Ave,Seattle,King
2019-0183,GWGU,Glaucous-winged Gull,2/14/2019,401 Alaskan Way,Seattle,King
2019-0188,RACC,Raccoon,2/15/2019,3000 NE 75th St,Seattle,King
2019-0189,NOBO,Northern Bobwhite,2/16/2019,12634 61st Pl S,Seattle,King
2019-0191,AMCR,American Crow,2/16/2019,2425 E Union St,Seattle,King
2019-0202,ROPI,Rock Pigeon,2/18/2019,1026 NE 64th St,Seattle,King
2019-0207,EACO,Eastern Cottontail,2/19/2019,4220 S Trenton Street,Seattle,King
2019-0208,AMCR,American Crow,2/19/2019,342 17th Ave,Seattle,King
2019-0210,EACO,Eastern Cottontail,2/19/2019,11750 3rd Ave NW,Seattle,King
2019-0211,ROPI,Rock Pigeon,2/21/2019,2001 W Garfield St # C127,Seattle,King
2019-0219,ROPI,Rock Pigeon,2/23/2019,1512 Boylston Ave,Seattle,King
2019-0221,ROPI,Rock Pigeon,2/23/2019,222 Yale Ave N,Seattle,King
2019-0225,RACC,Raccoon,2/24/2019,1000 NE 91st,Seattle,King
2019-0226,ANHU,Anna's Hummingbird,2/25/2019,3801 Brooklyn Ave NE,Seattle,King
2019-0229,VATH,Varied Thrush,2/26/2019,13349 25th Ave NE,Seattle,King
2019-0232,RACC,Raccoon,2/26/2019,2061 15th Ave W,Seattle,King
2019-0234,ROPI,Rock Pigeon,2/27/2019,Ballard Bridge,Seattle,King
2019-0242,AMRO,American Robin,3/2/2019,8730 19th Ave NW,Seattle,King
2019-0251,ROPI,Rock Pigeon,3/4/2019,Seattle Art Museum,Seattle,King
2019-0255,MALL,Mallard,3/6/2019,10313 Lake shore Blvd,Seattle,King
2019-0257,ANHU,Anna's Hummingbird,3/6/2019,5627 University Way NE,Seattle,King
2019-0264,ROPI,Rock Pigeon,3/10/2019,1500 2nd Ave,Seattle,King
2019-0265,AMRO,American Robin,3/10/2019,2061 15th Ave W,Seattle,King
2019-0266,AMCR,American Crow,3/10/2019,10734 Dayton Ave N,Seattle,King
2019-0268,EGSQ,Eastern Gray Squirrel,3/11/2019,4200 15th Ave NE,Seattle,King
2019-0271,ROPI,Rock Pigeon,3/11/2019,Fremont Bridge,Seattle,King
2019-0279,EGSQ,Eastern Gray Squirrel,3/12/2019,39th Ave NE & NE 110th St,Seattle,King
2019-0280,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0281,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0282,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0283,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0289,AMRO,American Robin,3/15/2019,3105 Cascadia Ave S,Seattle,King
2019-0291,EGSQ,Eastern Gray Squirrel,3/15/2019,4212 Baker Ave NW,Seattle,King
2019-0298,ROPI,Rock Pigeon,3/16/2019,17th Ave NW & NW Market St,Seattle,King
2019-0301,EGSQ,Eastern Gray Squirrel,3/16/2019,2305 NE 135th St,Seattle,King
2019-0321,GWGU,Glaucous-winged Gull,3/20/2019,SW Michigan and 2nd Ave SW,Seattle,King
2019-0329,EACO,Eastern Cottontail,3/20/2019,10319 Walingford Ave N,Seattle,King
2019-0341,GWGU,Glaucous-winged Gull,3/22/2019,2061 15th Ave W,Seattle,King
2019-0342,EGSQ,Eastern Gray Squirrel,3/22/2019,2061 15th Ave W,Seattle,King
2019-0347,EACO,Eastern Cottontail,3/23/2019,14th Ave & E Cherry St,Seattle,King
2019-0359,EGSQ,Eastern Gray Squirrel,3/25/2019,101 W Olympic Pl #316,Seattle,King
2019-0361,ROPI,Rock Pigeon,3/25/2019,5000 12th ave NE,Seattle,King
2019-0363,ANHU,Anna's Hummingbird,3/25/2019,Magnuson Park,Seattle,King
2019-0364,ROPI,Rock Pigeon,3/26/2019,E Republican St,Seattle,King
2019-0365,EACO,Eastern Cottontail,3/26/2019,12405 Renton Ave S,Seattle,King
2019-0372,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0381,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0382,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0389,ROPI,Rock Pigeon,3/28/2019,2061 15th Ave W,Seattle,King
2019-0410,EGSQ,Eastern Gray Squirrel,3/30/2019,9756 Dayton Ave N,Seattle,King
2019-0412,EACO,Eastern Cottontail,3/30/2019,6838 25th Ave NE,Seattle,King
2019-0418,COHA,Cooper's Hawk,3/30/2019,1762 Ferry Ave SW,Seattle,King
2019-0419,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0420,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0421,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0422,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0423,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0426,EACO,Eastern Cottontail,3/31/2019,5437 41st St SW,Seattle,King
2019-0430,RUHU,Rufous Hummingbird,3/31/2019,4277 NE Stevens Way,Seattle,King
2019-0434,HOSP,House Sparrow,3/31/2019,1101 NW 59th St,Seattle,King
2019-0435,WODU,Wood Duck,3/31/2019,9001 Meridian Ave N,Seattle,King
2019-0436,EACO,Eastern Cottontail,3/31/2019,3017 NW 94th St,Seattle,King
2019-0438,EGSQ,Eastern Gray Squirrel,3/31/2019,Green Lake,Seattle,King
2019-0440,EACO,Eastern Cottontail,4/1/2019,207 16th Ave #c,Seattle,King
2019-0448,EACO,Eastern Cottontail,4/1/2019,1227 NW Woodbine Way,Seattle,King
2019-0449,EACO,Eastern Cottontail,4/1/2019,1227 NW Woodbine Way,Seattle,King
2019-0451,EGSQ,Eastern Gray Squirrel,4/1/2019,4700 46th Ave SW,Seattle,King
2019-0454,EACO,Eastern Cottontail,4/2/2019,5206 S Dawson,Seattle,King
2019-0457,EACO,Eastern Cottontail,4/2/2019,13018 20th Ave NE,Seattle,King
2019-0459,EACO,Eastern Cottontail,4/2/2019,2615 NE 75th St,Seattle,King
2019-0461,GWGU,Glaucous-winged Gull,4/2/2019,8115 4th Ave SW,Seattle,King
